REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ALB,Albania,WB_EWSA_AS_4190,Total renewable water resources per capita,_T,Total,M3_IH_YR,Cubic meters per inhabitant per year,9538.404395499,9593.566338399,9635.96473875,9685.422605135,9746.157770931,9817.43791527,9899.013671456,9990.449527223,10090.446485551,10197.607344168,10311.66495147,10372.645890234,10377.99260757,10386.669569431,10400.34796396,10418.707859432,10421.458265683,10420.1098459,10434.550663026,10467.901324432,10515.488757828,10597.848496386,10680.405487607
ALB,Albania,WB_EWSA_AS_4254,Agricultural water withdrawal as % of total water withdrawal,_T,Total,PT,Percentage,57.677658069,55.391154325,52.864495647,50.057749178,46.921609202,43.394475769,40.678392355,42.572971933,44.544012559,46.596238255,48.734770384,50.965170319,53.293487735,55.726315407,58.270851551,69.565217391,70.264317181,64.010989011,68.162839248,61.184792219,69.338422392,70.854271357,70.890840652
ALB,Albania,WB_EWSA_AS_4550,Water Stress (SDG 6.4.2),_T,Total,PT,Percentage,11.044471154,10.519591346,9.994711539,9.469831731,8.944951923,8.420072115,7.646754808,7.4984375,7.350120192,7.201802885,7.053485577,6.905168269,6.756850961,6.608533654,6.460216346,5.528846154,6.5625,6.556490385,5.757211539,6.796875,4.723557692,4.783653846,4.789663461
ALB,Albania,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),RUR,Rural area,PT_POP,Percentage of population,64.26864124538497,64.83899982889352,65.4093584124023,65.97971699591085,66.55007557941963,67.12043416292818,67.69079274643695,68.2611513299455,68.83150991345428,69.40186849696306,69.97222708047161,70.54258566398039,71.11294424748894,71.68330283099772,72.25366141450627,72.82401999801505,73.3943785815236,73.96473716503237,74.53509574854093,75.1054543320497,75.67581291555825,75.67581291555825,75.67581291555825
ALB,Albania,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),URB,Urban area,PT_POP,Percentage of population,98.11124167752928,97.39218127328309,96.6731208690369,95.9540604647907,95.23500006054452,94.51593965629831,93.79687925205212,93.07781884780591,92.35875844355974,91.63969803931354,90.92063763506737,90.20157723082116,89.48251682657497,88.76345642232877,88.04439601808258,87.32533561383639,86.6062752095902,85.88721480534377,85.16815440109758,84.44909399685139,83.7300335926052,83.7300335926052,83.7300335926052
ALB,Albania,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),_T,Total,PT_POP,Percentage of population,78.39488113891157,78.65294087548243,79.00940783394668,79.34018337025479,79.64502918435258,79.92262569870411,80.17342067173435,80.39700074068969,80.59301598149727,80.76005963702497,80.89954754265925,81.01041015276643,81.09313230422718,81.14348888052353,81.16326955980254,81.15270407201953,81.1129001219008,81.04466118941075,80.94885208929573,80.82647320363333,80.67845036838908,80.74747391617052,80.81432294028176
ARM,Armenia,WB_EWSA_AS_4190,Total renewable water resources per capita,_T,Total,M3_IH_YR,Cubic meters per inhabitant per year,2485.580497743,2518.845954203,2542.519873152,2556.459956143,2570.353884364,2584.195923896,2598.000185261,2611.587461288,2624.671029294,2637.56753059,2650.56064697,2657.639336209,2658.314993047,2658.324089022,2658.411413547,2659.544423361,2661.716675352,2665.213932389,2669.791561067,2675.30127701,2687.405824915,2706.639506206,2696.751055409
ARM,Armenia,WB_EWSA_AS_4254,Agricultural water withdrawal as % of total water withdrawal,_T,Total,PT,Percentage,65.998168057,65.892796176,65.766701281,65.752176554,65.758019053,65.755764304,65.758754864,66.950053135,64.678117215,61.842299189,58.202927814,67.473338802,71.676300578,77.508884752,74.908200734,81.743119266,80.0,73.170731707,69.344141489,74.485165794,70.342877342,76.036400404,77.473958333
ARM,Armenia,WB_EWSA_AS_4550,Water Stress (SDG 6.4.2),_T,Total,PT,Percentage,37.744603591,34.819447246,34.96066169,39.862820254,50.494250555,55.900746419,57.030461973,60.762557999,57.958442606,49.707484366,42.909017551,49.182973573,59.330240065,59.612668953,57.69618721,65.987492435,64.171878152,57.89792213,54.750857373,57.79705467,57.090982449,59.854750857,61.972967521
ARM,Armenia,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),RUR,Rural area,PT_POP,Percentage of population,73.50467541241278,74.80240245361574,76.10012949481916,77.39785653602212,78.69558357722553,79.9933106184285,81.29103765963191,82.58876470083487,83.88649174203829,85.18421878324125,86.48194582444467,87.77967286564763,89.07739990685104,90.375126948054,91.67285398925696,92.97058103046038,94.26830807166334,95.56603511286676,96.86376215406972,98.16148919527312,99.4592162364761,100.0,100.0
ARM,Armenia,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),URB,Urban area,PT_POP,Percentage of population,97.28072980866432,97.41582792284952,97.55092603703474,97.68602415122,97.82112226540522,97.95622037959043,98.0913184937757,98.22641660796091,98.36151472214613,98.49661283633134,98.6317109505166,98.76680906470182,98.90190717888704,99.0370052930723,99.17210340725752,99.30720152144272,99.442299635628,99.5773977498132,99.7124958639984,99.84759397818368,99.90763287368564,99.92888644689155,99.95014002009748
ARM,Armenia,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),_T,Total,PT_POP,Percentage of population,88.8797000124114,89.36205880626406,89.87926247991035,90.4100801196024,90.94319615526466,91.47843438112064,92.01616776071008,92.55604632015756,93.0983965718091,93.64291452459928,94.18975597200986,94.73892754320433,95.2904147683684,95.84631620346208,96.40578218968744,96.96803715218572,97.5321639520118,98.09732450264356,98.66270918203824,99.22742954147876,99.74311907416632,99.95489411260024,99.96830449708364
